title,Screen Size,Processor Brand,Processor Speed
"HP 15s fq5229TU i3 1215U (8U237PA) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"HP 240 G9 i3 1215U (6L1X7PA) (Intel UHD, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP 245 G10 R5 7520U (8F155PA) (Radeon, 14 inches, 2.8GHz)",14 inches,AMD,2.8GHz
"HP Pavilion 14 dv2073TU i5 1235U (7C0P2PA) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP 240 G9 i5 1235U (6L1Y2PA) (Intel UHD, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP 15s fq5162TU i5 1235U (7C134PA) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP 15s fq5147TU i7 1255U (7C133PA) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP Pavilion 14 dv2074TU i5 1235U (7C0P3PA) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP Gaming VICTUS 15 fa1139TX i5 12450H (8Y6W3PA) (RTX 2050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"HP 14 ep0126TU i3 N305 (8U233PA) (Intel UHD, 14 inches, 1.8GHz)",14 inches,Intel,1.8GHz
"HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA) (Intel Iris Xe, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
"HP Gaming VICTUS 15 fb1022AX R5 7535HS (94F19PA) (RTX 2050 4GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"HP 240 G9 i5 1235U (6L1Y1PA) (Intel UHD, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP 15s fq2716TU i3 1115G4 (7C0X3PA) (Intel UHD, 15.6 inches, 3GHz)",15.6 inches,Intel,3GHz
"HP Envy X360 13 bf0090TU i7 1250U (76B13PA) (Intel Iris Xe, 13.3 inches, 1.1GHz)",13.3 inches,Intel,1.1GHz
"HP Pavilion X360 14 ek1047TU i7 1355U (80R25PA) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP Pavilion X360 14 ek1048TU i5 1335U (80R26PA) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP Envy X360 13 bf0112TU i5 1230U (7C0N9PA) (Intel Iris Xe, 13.3 inches, 1.00 GHz)",13.3 inches,Intel,1.00 GHz
"HP Pavilion X360 14 ek1049TU i5 1335U (80R27PA) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg3095TU i5 1335U (8C5L6PA) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg2062TX i5 1235U (7C0W7PA) (MX550 2GB, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP 240 G10 i5 1335U (8F134PA) (Intel UHD, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP Elitebook 630 G9 i5 1235U (6M143PA) (Intel UHD, 13.3 inches, 1.3GHz)",13.3 inches,Intel,1.3GHz
"HP Gaming VICTUS 16 s0077AX R7 7840HS (8C5N6PA) (RTX 3050 6GB, 16.1 inches, 3.8GHz)",16.1 inches,AMD,3.8GHz
"HP Gaming VICTUS 16 e1106AX R5 6600H (7C0T1PA) (RTX 3050Ti 4GB, 16.1 inches, 3.3GHz)",16.1 inches,AMD,3.3GHz
"HP Pavilion 15 eg2086TU i3 1215U (7C0Q8PA) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"HP Gaming VICTUS 15 fa0155TX i5 12450H (81P00PA) (RTX 3050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"HP 240 G10 i5 1335U (8F136PA) (Intel UHD, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"HP 245 G9 R5 5625U (6L1N9PA) (Radeon, 14 inches, 2.30 GHz)",14 inches,AMD,2.30 GHz
"HP OMEN 16 xf0070AX R9 7940HS (8W945PA) (RTX 4070 8GB, 16.1 inches, 4GHz)",16.1 inches,AMD,4GHz
"HP OMEN 16 xf0071AX R7 7840HS (8W946PA) (RTX 4060 8GB, 16.1 inches, 3.8GHz)",16.1 inches,AMD,3.8GHz
"HP Envy 16 h0205TX i9 12900H (7C0T2PA) (RTX 3060 6GB, 16 inches, 2.5GHz)",16 inches,Intel,2.5GHz
"HP Envy 16 h0207TX i7 12700H (7C0T4PA) (RTX 3060 6GB, 16 inches, 2.30 GHz)",16 inches,Intel,2.30 GHz
"HP Elitebook Dragonfly G3 i7 1255U (6Z980PA) (Intel Iris Xe, 13.5 inches, 1.7GHz)",13.5 inches,Intel,1.7GHz
"HP Gaming VICTUS 16 s0138AX R7 7840HS (9Q985PA) (RTX 4070 8GB, 16.1 inches, 3.8GHz)",16.1 inches,AMD,3.8GHz
"HP Omen 16 n0087AX R7 6800H (7C0T7PA) (RTX 3060 6GB, 16.1 inches, 3.2GHz)",16.1 inches,AMD,3.2GHz
"HP Elitebook X360 1040 G9 i7 1255U (6Z982PA) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"HP Gaming VICTUS 16 s0139AX R7 7840HS (9Q986PA) (RTX 4060 8GB, 16.1 inches, 3.8GHz)",16.1 inches,AMD,3.8GHz
"HP Gaming VICTUS 16 r0227TX i5 13500H (9Q978PA) (RTX 4060 8GB, 16.1 inches, 2.6GHz)",16.1 inches,Intel,2.6GHz
"HP Gaming VICTUS 16 r0228TX i5 13500H (9Q979PA) (RTX 4050 6GB, 16.1 inches, 2.6GHz)",16.1 inches,Intel,2.6GHz
"HP Elitebook 630 G10 i7 1355U (9J0B7PT) (Intel UHD, 13.3 inches, 1.7GHz)",13.3 inches,Intel,1.7GHz
"HP Elitebook 630 G10 i7 1355U (873F2PA) (Intel UHD, 13.3 inches, 1.7GHz)",13.3 inches,Intel,1.7GHz
"HP Elitebook 630 G10 i5 1335U (9J0B5PT) (Intel UHD, 13.3 inches, 1.3GHz)",13.3 inches,Intel,1.3GHz
"HP Probook 450 G10 i7 1355U (873D3PA) (Intel UHD, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP Pavilion X360 14 ek0132TU i7 1255U (7C0W4PA) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
